MetaboClusterPos	ZV101	ZV103	ZV104	ZV105	ZV106	ZV108	ZV109	ZV110	ZV111	ZV112	ZV113	ZV114	ZV115	ZV116	ZV117	ZV118	ZV119	ZV120	ZV121	ZV122	ZV125	ZV126	ZV127	ZV128	ZV129	ZV131	ZV132	ZV133	ZV134	ZV135	ZV136	ZV137	ZV138	ZV139	ZV142	ZV143	ZV144	ZV201	ZV202	ZV203	ZV204	ZV205	ZV206	ZV207	ZV208	ZV209	ZV210	ZV211	ZV212	ZV214	ZV215	ZV216	ZV217	ZV219	ZV220	ZV221	ZV222	ZV223	ZV224	ZV225	ZV226	ZV227	ZV228	ZV230	ZV231	ZV232	ZV233	ZV234	ZV235	ZV236	ZV238	ZV239
D1/0_Clus_pos_8	0.420856353591	0.659331491713	-0.285497237569	-0.133629834254	-0.360651933702	1.2953038674	0.360629834254	-0.398033149171	-1.39680662983	-1.28110497238	1.56814364641	0.819928176796	-0.430309392265	-0.764861878453	1.15051381215	-0.132812154696	-0.299850828729	0.944121546961	0.952138121547	0.0189060773481	0.0175801104972	-0.525281767956	0.393248618785	-0.884071823204	1.54446961326	0.486718232044	1.16264088398	-0.405287292818	1.56445303867	0.0169116022099	0.278966850829	1.1236961326	-0.340099447514	0.488425414365	0.698729281768	-0.643856353591	-0.345370165746	0.63635359116	0.350679558011	-1.04890607735	0.146276243094	0.558801104972	0.90791160221	0.297082872928	0.674790055249	-0.0332154696133	0.493773480663	-0.0615138121547	0.0804640883978	-0.350922651934	-0.114060773481	0.140856353591	-0.0553867403315	-0.100116022099	-0.129712707182	0.797812154696	-0.410066298343	0.140154696133	-0.15679558011	-0.645541436464	-0.296325966851	-0.390414364641	0.184845303867	1.13477348066	0.176602209945	0.247834254144	0.54244198895	0.124657458564	0.234790055249	0.174359116022	0.366397790055	-0.125005524862
D1/0_Clus_pos_1013	2.39029166667	2.88154166667	-1.51254166667	-0.42275	-2.28458333333	-2.884	-1.122	0.0838333333333	0.424875	0.163041666667	0.0639583333333	-3.28	-0.889041666667	-0.253666666667	-0.474458333333	-0.246291666667	-1.00316666667	-0.356416666667	-0.261958333333	-0.656875	-0.558083333333	-1.45508333333	-0.307958333333	1.76991666667	0.157458333333	-1.94233333333	-0.534208333333	0.0655833333333	-1.24966666667	-1.878625	-2.10725	-2.64858333333	-0.127125	-0.280041666667	-0.369416666667	0.261708333333	1.29645833333	1.18183333333	2.22433333333	-0.314208333333	-1.44620833333	-1.73754166667	-2.12629166667	-0.963875	-3.91575	-1.98008333333	-0.809416666667	-0.989125	-0.207666666667	-0.5	-0.399958333333	-0.766	0.82425	1.47658333333	0.781666666667	1.16504166667	0.916208333333	-1.131	-2.70666666667	0.588375	-4.41766666667	-0.103291666667	-1.50941666667	-0.336208333333	0.705416666667	-0.295791666667	0.247333333333	0.137041666667	-3.041875	0.224833333333	-0.137208333333	0.0180833333333
D1/0_Clus_pos_38	0.407214285714	-0.0645714285714	0.163928571429	-0.0672142857143	0.470571428571	0.406428571429	-0.1795	0.0243571428571	0.241857142857	0.498428571429	0.0287142857143	-0.239357142857	0.0669285714286	0.0169285714286	0.0680714285714	0.0115714285714	-0.467714285714	-0.00964285714286	-0.00642857142857	-0.248571428571	0.0745714285714	0.0662857142857	0.075	0.207928571429	0.0867857142857	-0.0163571428571	-0.170571428571	0.0589285714286	-0.151714285714	-0.0376428571429	-0.0393571428571	0.148642857143	0.0941428571429	0.127642857143	-0.0395	0.00457142857143	0.439571428571	-0.172928571429	-0.188571428571	0.164571428571	0.120428571429	-0.238785714286	0.00292857142857	-0.0122857142857	0.115571428571	0.194071428571	-0.118642857143	-0.199714285714	0.133071428571	-0.0231428571429	-0.113142857143	-0.0172142857143	-0.121857142857	0.926142857143	-0.0540714285714	0.0532142857143	-0.0535714285714	-0.0358571428571	-0.0821428571429	-0.0924285714286	-0.165785714286	-0.0926428571429	0.000642857142857	-0.384071428571	-0.329071428571	0.0829285714286	-0.301785714286	0.0567142857143	0.116142857143	0.0393571428571	-0.203428571429	0.0324285714286
D1/0_Clus_pos_17	-0.0302878787879	0.0963787878788	-0.189424242424	-0.0412878787879	-0.680393939394	0.442227272727	-0.0479848484848	0.567318181818	0.213606060606	-1.23066666667	0.00780303030303	-0.0859696969697	-0.811939393939	0.0247121212121	0.748151515152	-0.00324242424242	-0.0582121212121	-0.917696969697	0.0990606060606	0.215166666667	0.217772727273	0.215045454545	0.0506212121212	0.186393939394	0.282818181818	-1.25106060606	0.0148636363636	0.406621212121	0.182666666667	0.33096969697	0.0827727272727	0.11403030303	-0.544939393939	0.238136363636	0.0462121212121	-0.0900303030303	0.515666666667	-0.0286212121212	-0.0846363636364	0.0760606060606	0.404803030303	-0.0261060606061	0.533	-0.0686212121212	0.377166666667	-1.21557575758	-0.186772727273	-0.0224393939394	0.199863636364	-0.443954545455	0.0409848484848	0.16846969697	-0.203378787879	0.351075757576	0.131484848485	0.252757575758	0.100848484848	-0.139803030303	-0.143363636364	0.149	0.0431363636364	0.450242424242	0.0585	-0.0903787878788	-0.17853030303	0.112681818182	-0.0829848484848	-0.781045454545	-0.0110757575758	0.0272121212121	0.197378787879	0.176545454545
D1/0_Clus_pos_22	-0.538627906977	-0.337174418605	1.63370930233	0.254744186047	0.673895348837	1.09744186047	0.928081395349	0.142174418605	-0.639395348837	-0.0936976744186	-0.0793488372093	1.2176744186	1.35247674419	0.297837209302	0.331046511628	-0.0406162790698	0.23938372093	0.737069767442	0.538418604651	-0.0620930232558	0.0808604651163	0.229581395349	-0.309209302326	-0.0503023255814	-0.224220930233	0.0917790697674	0.134337209302	-0.0962674418605	-0.168686046512	1.68753488372	1.38537209302	1.94920930233	-0.377674418605	0.3445	-0.0388488372093	0.472430232558	-0.121918604651	-0.192325581395	-0.258069767442	0.091523255814	-0.182872093023	0.0883139534884	-0.342162790698	0.311139534884	0.352255813953	-0.388965116279	0.00225581395349	0.264779069767	-0.102872093023	0.0493604651163	0.153558139535	-0.106139534884	0.225255813953	-0.0352790697674	0.286988372093	-0.0718488372093	-0.0148023255814	-0.0194651162791	0.0958604651163	-0.968453488372	0.574406976744	0.276255813953	0.128709302326	-0.227046511628	-0.38911627907	-0.0280813953488	-0.131872093023	-0.0780813953488	0.191313953488	-0.0273720930233	-0.0203255813953	0.0338255813953
D1/0_Clus_pos_1069	1.7772	0.1195	-0.1933	-0.4684	-0.5504	0.0387	-0.1165	-0.7917	0.738	-0.1392	1.3923	0.2732	-0.9784	-1.5259	1.6114	-0.2028	-1.8456	0.9727	0.263	-0.1096	0.1019	-0.3183	0.0765	-0.9643	0.7833	-0.7544	0.4127	-0.582	-0.2154	0.4314	-0.3248	0.6127	-0.4086	0.9034	-0.2573	0.4041	0.6599	0.4335	-0.8359	0.8136	2.1944	0.2366	-0.5114	-0.6887	0.1701	0.0271	1.4017	-0.0482	0.1443	1.4692	-0.4353	0.828	-0.0149	-0.1738	-0.6049	0.3367	0.7355	0.1948	-0.8578	0.0421	-1.2362	0.7629	0.4301	0.6097	0.1514	-0.9623	-0.7078	0.4722	0.5618	-0.3019	-0.144	-1.0404
D1/0_Clus_pos_153	-0.0542222222222	0.0676666666667	0.181777777778	-0.0827777777778	0.174777777778	0.212555555556	-0.0757777777778	0.0697777777778	0.0944444444444	0.674333333333	0.01	-0.0118888888889	-0.07	-0.0198888888889	-0.0574444444444	-0.0605555555556	-0.00344444444444	0.0358888888889	0.0561111111111	-0.141	0.0883333333333	-0.0788888888889	0.146222222222	-0.0997777777778	0.266888888889	0.250555555556	-0.131	0.0248888888889	0.0855555555556	-0.00855555555556	0.0393333333333	0.0222222222222	0.0663333333333	0.102333333333	0.088	-0.159333333333	0.0872222222222	0.00755555555556	-0.179777777778	-0.0982222222222	0.0815555555556	-0.0941111111111	0.0722222222222	0.0844444444444	0.389444444444	0.307333333333	0.0447777777778	-0.009	-0.0833333333333	-0.160111111111	0.0925555555556	-0.00622222222222	0.0307777777778	0.0413333333333	0.150555555556	0.0858888888889	-0.0746666666667	0.0176666666667	-0.0851111111111	0.00366666666667	-0.117555555556	0.120444444444	-0.128	-0.136444444444	-0.0904444444444	-0.0696666666667	0.0667777777778	0.078	-0.0443333333333	-0.0391111111111	0.0625555555556	-0.015
D3/0_Clus_pos_134	0.00718181818182	-0.131272727273	0.558272727273	0.487727272727	0.997363636364	1.40209090909	0.643272727273	-0.708272727273	0.598	-0.024	-0.219	0.536636363636	0.122727272727	-0.0827272727273	0.140727272727	-0.00445454545455	-1.00918181818	0.762909090909	-0.235272727273	0.0528181818182	0.361454545455	0.196454545455	-0.299818181818	0.763545454545	0.109545454545	-0.199454545455	0.254272727273	-0.708636363636	0.464272727273	0.0416363636364	-0.391636363636	0.839090909091	-0.364272727273	-0.133454545455	0.257545454545	0.112909090909	0.594090909091	0.0887272727273	0.0657272727273	-0.182545454545	0.428636363636	-0.0224545454545	0.38	0.168545454545	0.751909090909	0.00372727272727	0.176636363636	-0.200545454545	0.0334545454545	-0.421363636364	-0.258363636364	0.232909090909	-0.094	-0.112818181818	0.224	0.172181818182	-0.219636363636	-0.108545454545	-0.000636363636364	-0.243181818182	0.0177272727273	0.393909090909	0.321818181818	0.452727272727	0.136363636364	0.219181818182	0.0675454545455	0.224363636364	0.447454545455	0.0692727272727	0.404636363636	-0.0187272727273
D3/0_Clus_pos_700	-0.537923076923	0.0666153846154	1.48769230769	-0.256769230769	0.612230769231	-0.103153846154	0.198538461538	-0.0161538461538	0.0757692307692	0.0118461538462	-0.0957692307692	0.159615384615	0.451076923077	-0.211153846154	-0.0629230769231	-0.0373846153846	0.576769230769	0.250538461538	-0.073	-0.493	-0.524538461538	-0.189692307692	0.312769230769	0.0153076923077	-0.585230769231	0.271384615385	-0.425692307692	0.044	0.356307692308	0.104307692308	-0.104538461538	-1.30384615385	-0.0715384615385	-0.0862307692308	-0.063	0.164538461538	-0.392307692308	-0.350769230769	-0.417923076923	0.0756153846154	0.341461538462	-0.230076923077	-1.64323076923	0.141692307692	-0.0934615384615	-0.490923076923	0.549846153846	0.145615384615	-0.647076923077	-0.348076923077	0.254692307692	0.0973846153846	-0.00284615384615	-0.0628461538462	-0.0313846153846	0.0686153846154	-0.221538461538	-0.184769230769	-0.201923076923	-0.102461538462	-0.125769230769	-0.142	-0.107769230769	-0.247846153846	-0.455461538462	-0.254153846154	-0.0571538461538	-0.0829230769231	-0.118230769231	0.112153846154	-0.0509230769231	-0.0141538461538
D3/0_Clus_pos_76	-0.351307692308	0.133923076923	1.08584615385	0.0855384615385	0.608230769231	0.232384615385	0.293923076923	0.886307692308	0.755769230769	0.594076923077	-0.00676923076923	0.786769230769	1.50569230769	0.861692307692	0.455230769231	-0.0921538461538	-0.809307692308	-0.0366153846154	-0.522	-0.296538461538	0.616538461538	-0.287846153846	0.806538461538	0.810384615385	-0.695538461538	1.01330769231	0.128846153846	1.10969230769	-0.207846153846	-0.521846153846	0.287	0.364846153846	0.361	0.848692307692	-0.110769230769	0.930461538462	0.656	0.0262307692308	-0.354923076923	0.0370769230769	0.968461538462	0.158	-0.240076923077	-0.219153846154	-0.642461538462	-0.0295384615385	0.0565384615385	0.309384615385	0.0291538461538	0.137461538462	0.317923076923	-0.272230769231	0.168461538462	0.0504615384615	-0.300615384615	-0.514461538462	-0.477307692308	-0.165230769231	-0.236692307692	0.00623076923077	0.684769230769	-0.211461538462	-0.805307692308	-0.556769230769	-0.0848461538462	-0.143846153846	0.0484615384615	0.366846153846	-0.261692307692	-0.026	-0.172769230769	-0.0112307692308
