"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0,0,0.0404788505198199,0,-0.00536543906641647,0,-0.199715955268195,-0.160768852846609,0,-0.200023681773741,0,0,0,0
0.177939301675755,0.600369089698163,0,0,0,0,-0.132770392414428,0,0,-0.010756106604257,0,0,0.0781651096073968,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.412323795149109,0,0,-0.0452441117901099,0,0,0,0,0,0.29814173400402,0,-0.0751093416191653
0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0.417456314938916,0.0039050285322309,0,0,-0.040167394217747,0.123567239472973,0,0.0699186262008569,0.221352734343215,0,-0.0367167183897696,0,0
-0.133024031121259,0,-0.257849352755645,0,0.238612906458402,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.0118114656090617,0.0108236046092003,-0.166083575801823,-0.256130751401295,0.192532373856712,0,0.11213556870284,0,0,0,0,0.250482660019069,0,0
0.0251358176631548,0,-0.449188370845618,-0.302156103345023,0.0212816680837261,-0.126978462498039,0.0240319671493862,0,0,0,0,0.0082336928746493,0,-0.0429939175404038
0,0.170836141131536,-0.0829732450190767,0,0.333618864897011,0,0.126257120798117,0,0,0.154180966486161,0,0,0,0
0,0,-0.438362446099284,-0.476999138369463,0,0,-0.0846384155312531,0,0,0,0,0,0,0
0,0,-0.0815433024594413,-0.272960683642254,-0.0510208982688851,0.0522351607779954,-0.21435584162703,0,0,0,0,0.256311248670005,0,0.0580759836777587
0,0,0,0.0357940198756529,0.245632756381018,-0.262987577810947,0.0638251191720779,0,0,0,0,-0.162155453020741,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.0497634205401978,0,0,0,0,0.64717473605877,0,0.113145176090818,-0.00558017114339641,-0.0512746934418871,-0.0516642377596492,0.0813975649652812
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0435337852515371,-0.00437811885322087,0,0,0,0.185744586843962,-0.125109771836896,0,-0.0330415176335016,0,0,0.608192219580883
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0.169107469550354,0,0.0209578017711325,0,0,0,0,0.590554309588913,0,0,0.0519494082956857,0
-0.090517429185878,0,0,0,0.238200560791298,0,0,0,0,0,0,0,0.250526001958448,0.420756008064376
0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.102988540762133,0,0.112229540916476,0,-0.201937763823959,0,0.303177697692703,0,-0.0411753901195301,0,-0.197373234047904,0.0411178326372953,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0.160014282875095,0,0,0,0,0,0,-0.169942300405963,0,0.270745559574425,0.399297857144517,0
0,0,0,0,0,0,0,0,0,0.00254183887590922,0.239912213296059,0,0,0.731982766767575
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.0258349270523477,0.0859637721367502,0,-0.151906117797146,-0.0121310197807805,0,0.128188680630445,0,0,0.59597548260253
0,0,0,0,0.0497425006875086,0.0331159647843334,0,0,0,0,0.696669846963969,0.00962391497275213,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,-0.168392773580729,0,0.0243348083047602,0,0.0282190106829661,0,0.22077370213113,0,0,0.0165414848890146,0.522008663100445
0,0,-0.204364787187797,0.0672418357629988,0,0.0300494742485538,0.132784888715,0,0,0.468693765994323,0,-0.000663308515086157,-0.0026159089948399,0
0,0.120360134582538,0,0,0,-0.0073204625793909,0,0,0,0.16375907935176,0.0566057916455806,-0.00516571957347578,0,0.646788812267255
-0.0261186713572034,0,0,0,0,0,0,0,-0.111130092597894,0,0,0,0,0.780065089402491
0,0,0.0281884185264441,0,0,0,0,0,0,0.0839917869168048,0.038057978807675,0,0,0.824321638092021
0,0.160193814842143,0,0,0.521730622057514,0,0.2615499914589,0,0,0,-0.0565255716414426,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0174061696507562,0,0,-0.0819663997247979,0,0.0737474040336134,0,0,0,0,0.298079910300337,0,0,0.528800116290496
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0.357558391211722,0.0533374014435662,0.471710681472159,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,-0.0755091472622613,0,0.428281697746697,0,0.112596744459808,0,0.0920829465706089,0,0,0.00255457238276925,0.277068535725791
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0.0339689070820452,0,-0.0424433494625588,0,0,0,0.054599268753297,0,0,0,0,0.0310113797735004,0.837977094928599
0,0,0,-0.0259962882365747,0,0.06801875786204,0.0286765114271767,0,0,0.155673392543572,0,0,0,0.294165414593621
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0.0436498892977584,0,0,0,0.762939299545547
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,-0.0104175186990509,0,0,0,-0.1533564838177,0,0,0.0097454793660192,0,0.514636657102733,0.311843861014497
0,0.000433337183320674,0,0,0,0,0,0.183479030378134,0,0,0,0,0.442011097405517,0.374076535033029
0,0,0,0,0,0,0,0,0,0.177050731666941,0,-0.0534138753720443,0,0.485976994995014
0,0,0,-0.00128525672079896,0,0.164071947268952,-0.0937863205332397,0,0,0,0,0,0,0.701172009776929
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0.0209995905922615,-0.0980790411861157,-0.261869864345012,0,0,0.459828229006383,0,0.159223274870228,0
0,0,0,0,0,0,0,0,0.442702667737132,0.0911914172391129,0.0840461326650723,-0.00541890306813252,0,0.37664087929055
0.0194760830592606,0,-0.0111973522609327,0,0,0,-0.124160004198938,0,0.0996988532442651,0,0.403778191307551,-0.335704157727174,0,0.00598535820187885
0,0,0,-0.0559470588207284,0,-0.0142377314549214,0,0,-0.0371685203870321,0,0,-0.0938737873861533,0,0.798772901951165
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,-0.145662484955336,0,0,0.0353330599626396,0,-0.0635346856013327,0,0,0.469187870624075,-0.11683148146571,0,0.169450417390906
0,0,0,0,0,0.0232889813562094,0,0,0.0716293274241819,0.315511710466833,0.228887172907398,-0.0661625018128407,0,0.294520306032536
0,0,-0.0154837548735228,-0.0326692660585973,0,0,0,0,0,0,0,0.255908040090221,0.106116993141588,0.589821945836071
0,0,0,0,0,0.0855179850709762,0,0,0,0.165429241971381,0.493231546777825,0,0,0.211064085010847
0,0,0,0,0,0,0,-0.00370945868758803,0,0,0.282216961717319,0,0,0.658457090391462
0,0,0.0616368830522793,-0.0813534096920856,0,0,-0.0982386384943465,0.154546202439712,0,0,-0.216663603673374,0,0,0.387561262648203
0,0,0,0,0,0,0,0,0,0.293063300684608,0,0,0,0.662621782362657
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0597610879582126,0,0.0383075637595508,-0.098989163479096,0,0,0,0.631333918379579,0,0,0,0.171608266423561
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00730597320904983,-0.0971867896607389,0,-0.288033213467719,0,0,0,0,0,0,0.165254613246868,0,0,0.442219410415624
0,0,0,-0.0568197052703053,0.0340486530771918,0,0,0,0,0,0.0746228357512234,0,0,0.769639294003963
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.10964324874308,0,0.0567549735750492,0.129146008692778,0.101832863431026,0,0,0.155824101583027,0.102026382940842,0.220496267615783,-0.124276153418413,0,0
0,0,0,-0.256891837682787,0,0.326817235913172,0,0.0468555406914265,0.0387485300471236,0,0.0273532409644761,0,0.303333614701014,0
0,0,0.029726497916564,-0.00518871512506639,0,-0.1404031567774,0,0.154718294891449,-0.123673655394863,0,-0.016120736332338,-0.0934149745779936,0,0.436753968984326
0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.0383271703325543,0,0,0.0603360104925111,0,0,0,0,0.297487004744872,0.352746948497887,0,0,0.204795990070705
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0.0196408673992472,0,0,0,0.108090487241868,0.237939211307248,0,0,0.496053403834363
0,0,-0.1091088404445,0,0,0.0816822692794603,-0.184395084602101,0.146428633247559,0,0.177380683614254,-0.151990466237016,0,0,0.149014022575109
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0889790806340317,0,0,0,0.10446208901793,0,0,0.032747249480225,0.248127550189882,-0.125172565646567,0,0.400511465031364
0,0,0,-0.246652565950476,0,0,-0.0894147757660615,0,0,0,0,0,0.158751148702241,0.505181509581221
0,0,0,0,0.0578127442607227,0.00427396476139682,0,0,0.000384113862959228,0.0930445484959613,0.229820310229817,0,0,0.341488216604182
0.0469191457353532,0,0.0821758376256373,-0.134762732502,0,0,0.0018912726474114,0,0,0,0,0.0392201071927237,0.694824922110753,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0
