"ER" "ER-Lasso-LS" "PFR" "PLS" "Lasso" "Perm-Lasso"
0.497356512429361 0.586555517827128 0.516700976084487 0.461507856797305 0.576776297492065 0.671481447262342
0.147951302936216 0.0272597663143714 0.277443121266166 0.101514989419255 0.0580036046012174 0.331735169292497
0.779792859315823 0.77178092928361 0.678717237082876 0.703686439698022 0.775801551728426 0.70757308635924
0.476035377723961 0.739001674394705 0.44522600758245 0.505307331168285 0.720361185259538 0.763797327514444
0.846707168646745 0.65328725060784 0.641020431815057 0.697511827977006 0.702127156537675 0.647502998695335
0.623187650521286 0.62497197342861 0.58476591579819 0.540074043474895 0.606089342550739 0.816556053790593
0.423661435039008 0.431921929234358 0.344360032288916 0.323999357666411 0.383325723740236 0.443479285539962
0.536726776121495 0.688768609292295 0.506238398518737 0.505671437858942 0.690469819666913 0.330894084698872
0.494159933058771 0.519768570633656 0.427880029170084 0.387377225250314 0.0471324088139304 0.907988737952626
0.375438527088561 0.539225608018153 0.337860925895198 0.246881348200598 0.527297226259594 0.571660237722914
0.631808222508112 0.657950198630105 0.7136236863445 0.699492695216642 0.489125945403704 0.669773355467814
1.19497896435791 1.43518131868726 1.14309223556178 1.34094785075173 1.24498574806897 0.920516365785852
0.688925746704264 0.631580201325519 0.677703486807778 0.687123726063826 0.568045601461725 0.675275725829275
0.841722536555203 0.756034732980164 0.835989061585614 0.77575897291382 0.592700586942903 0.576296426661528
1.17437896620784 0.953756302997865 1.00117049349913 1.04250729236003 0.856633808664342 0.902001699114733
1.20279058348341 0.946681334513539 1.14172695002293 1.32239539427866 1.26753429210784 0.715361019379887
0.765670125604052 0.904517646040747 0.755785859228324 0.836337403821836 0.952808782983038 0.575349638533151
0.884722290083968 0.809905235130564 0.851656972091864 0.918728577783289 0.943492464581434 0.842722272093737
0.214308587245064 0.512572851569475 0.323398335990827 0.265269359434664 0.498115193377845 0.723103997684587
0.693164459923616 0.88736582225556 0.78234754902153 0.860334157033372 0.810795479639477 1.30679310980095
0.535416282589258 0.72930363834454 0.591241064502477 0.512021600141396 0.557706533956196 0.549846776617864
0.685376718439656 0.784672391925225 0.878286488602163 0.855099433467667 0.81989137952919 0.216531267175335
0.149139716399852 0.571692134483129 0.260259621855789 0.298284950415639 0.575848176150882 0.314661801554277
1.31972856530973 1.23684447035117 0.958060478729607 1.06792026792051 1.16671026954625 1.09220007830751
0.657586984475306 0.26402985316766 0.72398836120653 0.663326452743496 0.588175716007102 0.634709486098178
0.556909125790213 0.712462824890956 0.646279600938639 0.684062732802128 0.962968897426478 0.67277391717594
0.724009165540446 0.66504038536133 0.743733301619001 0.786350473476937 0.840071628671203 0.713863103166952
0.897449675215552 0.553169298005215 0.703439563219694 0.742339711894938 0.686979135348668 0.576498939881977
0.528716595044763 0.696955355436244 0.521379130251532 0.507025515237592 0.699620562677252 0.387567128059315
0.983685127746493 0.648659655310193 0.897538119408861 0.919889517559073 0.649975554200404 0.625997361320508
