"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
-0.0418391205938483,0,0,-0.0132046928664127,-0.186560069765271,0,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0.0295176485376228,0,0.213991866544177,-0.182215618026947,0,0
0,0,0,0,0,0,-1,0
0,0,0,-0.000297801121800018,0,-0.208671490275577,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0.408611605563343,0,0.0558294680547653,0,0,0,-0.0834994564465115,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0
-0.13204003541784,0,-0.0404685687855982,0,0.0922841642358482,0,0.346321755117046,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0
0.128775354860165,0.0769146517820765,0.125842846475004,0,0,0,0,-0.0677794811423533
0,0,0,0,0,0,-1,0
0,-0.00669784359403527,0,0,0.0798797874344765,-0.286041440528678,0,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,-1,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
