MetaboClusterNeg	ZV101	ZV103	ZV104	ZV105	ZV106	ZV108	ZV109	ZV110	ZV111	ZV112	ZV113	ZV114	ZV115	ZV116	ZV117	ZV118	ZV119	ZV120	ZV121	ZV122	ZV125	ZV126	ZV127	ZV128	ZV129	ZV131	ZV132	ZV133	ZV134	ZV135	ZV136	ZV137	ZV138	ZV139	ZV142	ZV143	ZV144	ZV201	ZV202	ZV203	ZV204	ZV205	ZV206	ZV207	ZV208	ZV209	ZV210	ZV211	ZV212	ZV214	ZV215	ZV216	ZV217	ZV219	ZV220	ZV221	ZV222	ZV223	ZV224	ZV225	ZV226	ZV227	ZV228	ZV230	ZV231	ZV232	ZV233	ZV234	ZV235	ZV236	ZV238	ZV239
D3/0_Clus_neg_21	0.0227115384615	-0.0399615384615	0.718961538462	0.064	0.282442307692	-0.0180576923077	-0.0659807692308	-0.134884615385	0.0385	0.362153846154	-0.229596153846	0.07075	0.135230769231	-0.0451346153846	-0.0975961538462	0.0255	-1.47661538462	0.32125	0.0348846153846	-0.0434230769231	-0.437115384615	-0.155673076923	0.366615384615	-0.177634615385	-0.740788461538	0.437846153846	-0.0513076923077	-0.183615384615	0.0373846153846	0.207134615385	-0.0660576923077	0.704942307692	0.331365384615	-0.0138076923077	-0.0145576923077	1.06565384615	-0.2715	0.0777692307692	0.973596153846	-0.0271346153846	-0.132423076923	-0.131019230769	-0.164942307692	0.0768269230769	1.01330769231	0.485884615385	-0.097	0.0349038461538	-0.581230769231	1.54105769231	-0.062	0.0129230769231	0.895096153846	-0.204961538462	0.113807692308	0.670980769231	-0.293653846154	1.02892307692	0.103576923077	-0.618653846154	-0.104942307692	-0.314173076923	-0.0764807692308	0.139961538462	-0.173	-0.725884615385	0.0284615384615	0.33575	-0.856730769231	-0.0246153846154	0.277211538462	-0.110480769231
D3/0_Clus_neg_1	0.0421973684211	-0.505046052632	-1.11961184211	0.280506578947	0.468042763158	1.76403618421	0.830769736842	-1.51485197368	-0.156036184211	-0.334430921053	0.362075657895	0.704796052632	-1.51205592105	-0.925532894737	-0.163388157895	0.229309210526	-0.464128289474	0.445861842105	0.103809210526	0.459256578947	-0.0217171052632	-0.440601973684	-1.01619078947	-0.580552631579	1.9725	-0.466769736842	0.660782894737	-0.977430921053	1.52165789474	-0.216703947368	-0.269055921053	0.617667763158	-1.07764802632	-0.347809210526	0.800328947368	0.0947105263158	-0.622927631579	0.232490131579	0.135450657895	-0.117641447368	-0.224657894737	0.139319078947	0.480753289474	0.360023026316	0.735230263158	-0.152861842105	-0.0908190789474	-0.495503289474	-0.0349605263158	-0.731904605263	-0.345332236842	0.2556875	-0.379894736842	-0.447088815789	0.339434210526	0.586940789474	-0.817384868421	0.5049375	-0.0791282894737	-0.237059210526	-0.742453947368	0.196559210526	0.606197368421	0.969631578947	0.360296052632	0.435236842105	-0.102233552632	0.135378289474	0.683263157895	0.0565526315789	0.420684210526	-0.0600131578947
D3/0_Clus_neg_49	0.0332105263158	0.128473684211	0.0116842105263	0.0327368421053	0.036	-0.386736842105	0.553736842105	-0.0458947368421	-0.450368421053	-0.234894736842	-0.106894736842	0.441	0.329789473684	0.131	0.226052631579	-0.130052631579	-0.613894736842	0.241263157895	-0.179526315789	-0.0499473684211	0.105526315789	0.442315789474	-0.0681578947368	-0.441315789474	0.172842105263	-0.230368421053	-0.496684210526	-0.424210526316	0.0661578947368	0.209	0.961052631579	-0.187789473684	-0.918421052632	0.103368421053	-0.107210526316	0.0383684210526	-0.0731578947368	-0.391315789474	-0.411578947368	-0.0191052631579	0.0438947368421	0.224894736842	0.216315789474	0.431368421053	-0.158473684211	-0.182736842105	-0.215947368421	-0.653157894737	-0.165736842105	-0.138789473684	0.474631578947	0.0307894736842	0.443263157895	0.0156315789474	0.442578947368	0.223894736842	0.0673684210526	0.155684210526	0.287736842105	-0.163578947368	0.262210526316	0.556368421053	0.0903684210526	-0.000684210526316	0.0162105263158	-0.325842105263	-0.347052631579	0.209684210526	0.290684210526	0.116157894737	-0.129736842105	0.287421052632
D3/0_Clus_neg_10	0.118585106383	0.0169893617021	0.141914893617	-0.0380957446809	1.96721276596	0.2375	0.0232978723404	0.0104787234043	-0.0323191489362	-0.32779787234	-0.00441489361702	-0.0752659574468	1.62740425532	-0.145021276596	-1.27369148936	0.578031914894	1.53355319149	0.60520212766	-0.347606382979	-0.62529787234	-0.623031914894	1.70353191489	0.3115	1.92890425532	-0.464531914894	-1.36305319149	1.98054255319	-0.205617021277	-1.42754255319	-0.0302446808511	1.22223404255	1.57478723404	1.27454255319	0.745127659574	0.0678191489362	1.12141489362	0.57185106383	-0.49729787234	0.499031914894	-0.286861702128	-0.32029787234	0.477021276596	0.10685106383	-0.245276595745	0.302478723404	0.612329787234	-0.671276595745	-0.14020212766	0.41079787234	0.426287234043	-0.0374574468085	-0.181627659574	0.49970212766	-0.125840425532	-0.0888617021277	0.455159574468	0.217936170213	-0.235180851064	0.0627234042553	-0.14235106383	0.218510638298	-0.133829787234	0.246361702128	0.205117021277	-0.00189361702128	-0.276308510638	0.343787234043	1.25712765957	-0.296957446809	0.25864893617	0.0167872340426	0.16135106383
D3/0_Clus_neg_3	-0.323771604938	-0.213234567901	1.87141358025	0.56437654321	0.694037037037	0.276685185185	0.918839506173	-0.160604938272	-0.116475308642	-0.72050617284	-0.537555555556	1.29532098765	1.71131481481	0.292080246914	0.0968580246914	-0.0711172839506	-0.75687037037	0.74524691358	-0.411111111111	-0.327444444444	0.21887037037	0.430425925926	0.133814814815	0.217845679012	-0.524981481481	0.443518518519	-0.233271604938	-0.57837037037	-0.13262345679	0.872654320988	0.565314814815	0.594567901235	-0.335901234568	0.354024691358	-0.236697530864	0.507518518519	-0.188617283951	-0.287524691358	0.179913580247	-0.0572716049383	0.106851851852	-0.0150555555556	-0.0853333333333	0.306395061728	0.563203703704	-0.150216049383	0.00838271604938	-0.307209876543	-0.180913580247	0.0578827160494	0.2835	0.122172839506	0.706716049383	0.00377777777778	0.632339506173	-0.0992530864198	-0.20324691358	-0.0985	0.172450617284	0.202228395062	0.73600617284	0.631061728395	0.0414197530864	-0.349561728395	-0.0672345679012	-0.193932098765	-0.0676728395062	-0.122197530864	0.38487654321	0.0661543209877	-0.064	0.0828641975309
D3/0_Clus_neg_29	0.397533333333	-0.0605333333333	-1.6214	0.197466666667	-0.6932	0.862866666667	0.284933333333	-1.27133333333	-0.289066666667	0.0127333333333	0.0139333333333	-0.166333333333	-0.945133333333	-0.705733333333	0.0737333333333	0.233133333333	-0.186066666667	0.145133333333	0.204066666667	0.328933333333	-0.269066666667	-0.272933333333	-0.1972	-0.5364	0.924133333333	-0.21	0.312666666667	-0.679533333333	0.4912	-0.5276	0.0675333333333	-0.0282	-0.4246	-0.426866666667	1.12153333333	0.444266666667	-0.467	0.2796	-0.6118	0.0712666666667	-0.0598	0.652933333333	0.324933333333	0.242933333333	-0.448133333333	0.745866666667	0.170133333333	0.5692	0.7494	-0.223933333333	-1.096	-0.449333333333	-1.234	0.354133333333	-1.29406666667	0.310533333333	-0.293733333333	0.241666666667	0.481333333333	-0.445133333333	-0.534666666667	-1.51066666667	-0.283133333333	0.995666666667	0.4448	0.547866666667	-0.440133333333	0.1938	0.435666666667	0.0625333333333	0.9066	-0.334266666667
D3/0_Clus_neg_64	-0.0939333333333	-0.0795333333333	0.589533333333	0.0875333333333	0.338533333333	-0.601066666667	-0.747333333333	0.127333333333	-0.4266	0.157333333333	-0.519866666667	1.0946	0.714266666667	-0.101466666667	0.141333333333	-0.105266666667	-1.19586666667	0.243533333333	0.0351333333333	-0.4932	0.832466666667	0.571	0.453066666667	0.562	-0.6426	0.719866666667	-1.00726666667	-0.325	-0.458866666667	-0.0460666666667	0.4734	-0.526533333333	0.107533333333	0.1408	0.0864666666667	1.10573333333	-0.627066666667	0.158333333333	0.135466666667	-0.396333333333	0.473133333333	-0.1208	-0.37	0.0447333333333	0.83	-0.124533333333	0.0278666666667	-1.2988	-0.308666666667	-0.1754	0.650933333333	-0.262933333333	0.444	0.124933333333	0.828466666667	-0.0435333333333	-0.470866666667	-0.129	-0.0262666666667	0.393866666667	0.7614	0.585866666667	0.198266666667	-0.619266666667	-0.159533333333	0.241666666667	-0.2408	-0.0234	0.597133333333	0.1772	0.0022	-0.0142
D3/0_Clus_neg_30	0.636230769231	0.301846153846	0.920153846154	0.295538461538	0.128307692308	0.164615384615	-0.559307692308	-0.113307692308	0.081	-0.270461538462	-0.565153846154	0.0189230769231	0.417692307692	-0.188307692308	-0.165923076923	0.144076923077	-0.874307692308	-0.289769230769	0.110538461538	-0.297769230769	0.380615384615	0.0812307692308	0.969153846154	0.170615384615	-0.604384615385	0.168461538462	0.0592307692308	-0.346615384615	-0.530923076923	0.0220769230769	-0.0240769230769	-0.218461538462	-0.218769230769	0.274153846154	0.263461538462	0.104615384615	-0.243307692308	0.136538461538	0.331	0.0865384615385	0.646153846154	0.299923076923	0.0834615384615	1.03230769231	0.240923076923	-0.528307692308	0.00961538461538	-0.722923076923	-0.250846153846	-0.127307692308	-0.322461538462	-0.294076923077	0.437769230769	0.055	0.755615384615	-0.582769230769	-0.290846153846	0.0306153846154	-0.720076923077	0.477076923077	-0.308692307692	0.125384615385	0.421384615385	-0.195769230769	-0.299230769231	0.191923076923	-0.363615384615	-0.139230769231	-0.161307692308	0.503769230769	-0.182307692308	0.278846153846
D3/0_Clus_neg_101	-0.004	-0.2058	0.4877	0.7434	0.8869	1.0415	0.9087	-0.5404	-0.018	-0.7574	-0.2079	0.9627	-0.2006	-0.3722	0.0584	0.1522	-1.3808	0.6592	-0.342	0.112	0.2472	0.3992	-0.3869	-0.0613	0.2429	0.1881	-0.2229	-1.0189	0.4777	0.2516	0.088	0.5641	-0.1016	0.1991	-0.0577	0.1739	-0.1584	-0.0979	0.0032	-0.1423	0.216	-0.0546	0.3532	0.4099	0.7862	-0.3486	-0.0143	-0.5755	-0.294	-0.4621	-0.2243	0.0716	-0.2883	-0.465	0.7455	0.4213	-0.5353	0.0226	0.173	0.0311	-0.2183	0.2692	0.4588	0.3289	0.1676	0.1649	-0.0243	-0.1493	0.6706	0.3976	0.6714	-0.0185
D3/0_Clus_neg_24	0.491095238095	0.0468095238095	0.166666666667	0.0851428571429	-0.20280952381	-0.085	-0.127714285714	-0.0319047619048	0.0704285714286	-0.00542857142857	-0.0817619047619	0.10280952381	-0.139952380952	-0.0907619047619	0.227047619048	-0.239047619048	-1.17461904762	0.051619047619	0.188904761905	0.197761904762	0.0929047619048	-0.156952380952	-0.057619047619	-0.0662380952381	-0.0459047619048	0.142523809524	-0.0679047619048	0.00580952380952	0.215238095238	-0.16719047619	0.0761428571429	-0.057619047619	-0.419142857143	0.0162857142857	-0.10819047619	-0.121238095238	0.0278571428571	0.0532380952381	5.61719982697e-18	0.0634761904762	0.0518571428571	0.0632857142857	-0.0381428571429	0.11880952381	0.178904761905	0.0532380952381	-0.115	-0.149523809524	-0.0067619047619	0.202380952381	0.106380952381	-0.0140952380952	0.206428571429	0.109476190476	0.039380952381	-0.0121904761905	0.0104761904762	0.188095238095	0.0459523809524	0.0478571428571	0.118714285714	-0.0837619047619	-0.034	-0.112571428571	0.0982380952381	-0.189	0.091	-0.0812380952381	-0.0760952380952	0.108333333333	-0.064380952381	-0.0315238095238
